,0
MA_GAP50_last,127
Oil,77
cpi_chg,76
max_ret_1m,71
RSI14_last,49
Gold_Reserve,48
vol_roll3_std,46
mean_ret_1m,45
MACD_hist_last,45
high_vol_streak,37
streak_down_1m,37
autocorr_1m,36
vol_roll6_mean,36
ann_vol_lag1,33
oil_chg,26
vix_chg,26
vix_close,26
ann_vol_lag2,25
Annual_CPI,25
kurt_1m,25
skew_1m,24
vol_momentum,23
forex_chg,23
gold_chg,23
vol_ewm3,17
vol_roll3_mean,16
range_1m,16
Forex_Reserve,15
vix_roll3,14
Current_Account,14
min_ret_1m,14
ECSU,9
vix_lag1,7
ann_vol_lag3,4
absret_1m,1
high_vol,0
streak_up_1m,0
ann_vol_1m_%,0
