date,price
2006-03-31,2176.0
2006-04-30,2176.0
2006-05-31,2176.0
2006-06-30,2266.0
2006-07-31,2266.0
2006-08-31,2266.0
2006-09-30,2242.0
2006-10-31,2242.0
2006-11-30,2242.0
2006-12-31,2373.0
2007-01-31,2373.0
2007-02-28,2373.0
2007-03-31,2473.0
2007-04-30,2473.0
2007-05-31,2473.0
2007-06-30,2424.0
2007-07-31,2424.0
2007-08-31,2424.0
2007-09-30,2764.0
2007-10-31,2764.0
2007-11-30,2764.0
2007-12-31,2764.0
2008-01-31,3123.0
2008-02-29,3123.0
2008-03-31,3123.0
2008-04-30,3492.0
2008-05-31,3492.0
2008-06-30,3492.0
2008-07-31,3477.0
2008-08-31,3477.0
2008-09-30,3477.0
2008-10-31,3272.0
2008-11-30,3272.0
2008-12-31,3272.0
2009-01-31,3229.0
2009-02-28,3229.0
2009-03-31,3229.0
2009-04-30,3425.0
2009-05-31,3425.0
2009-06-30,3425.0
2009-07-31,3500.0
2009-08-31,3500.0
2009-09-30,3500.0
2009-10-31,3727.0
2009-11-30,3727.0
2009-12-31,3727.0
2010-01-31,4121.0
2010-02-28,4121.0
2010-03-31,4121.0
2010-04-30,4153.0
2010-05-31,4153.0
2010-06-30,4153.0
2010-07-31,4637.0
2010-08-31,4637.0
2010-09-30,4637.0
2010-10-31,4886.0
2010-11-30,4886.0
2010-12-31,5264.0
2011-01-31,5264.0
2011-02-28,5264.0
2011-03-31,5264.0
2011-04-30,5357.0
2011-05-31,5357.0
2011-06-30,5357.0
2011-07-31,5624.0
2011-08-31,5624.0
2011-09-30,6064.0
2011-10-31,7195.0
2011-11-30,9362.0
2011-12-31,9888.0
2012-01-31,10095.0
2012-02-29,11090.0
2012-03-31,11198.0
2012-04-30,12783.0
2012-05-31,13050.0
2012-06-30,12438.0
2012-07-31,14712.0
2012-08-31,15706.0
2012-09-30,17289.0
2012-10-31,18015.0
2012-11-30,18200.0
2012-12-31,19970.0
2013-01-31,19793.0
2013-02-28,20168.0
2013-03-31,21037.0
2013-04-30,21974.0
2013-05-31,20075.0
2013-06-30,16999.0
2013-07-31,17865.0
2013-08-31,22045.0
2013-09-30,22176.0
2013-10-31,21537.0
2013-11-30,20335.0
2013-12-31,20872.0
2014-01-31,19615.0
2014-02-28,21242.0
2014-03-31,20631.0
2014-04-30,20658.0
2014-05-31,20251.0
2014-06-30,20651.0
2014-07-31,21488.0
2014-08-31,21151.0
2014-09-30,21651.0
2014-10-31,19577.0
2014-11-30,20281.0
2014-12-31,20134.0
2015-01-31,20888.0
2015-02-28,19843.0
2015-03-31,19948.0
2015-04-30,19267.0
2015-05-31,19322.0
2015-06-30,19138.0
2015-07-31,18107.0
2015-08-31,18127.0
2015-09-30,18332.0
2015-10-31,18439.0
2015-11-30,18765.0
2015-12-31,17548.0
2016-01-31,18478.0
2016-02-29,17145.0
2016-03-31,19025.0
2016-04-30,19833.0
2016-05-31,19101.0
2016-06-30,18474.0
2016-07-31,19790.0
2016-08-31,19587.0
2016-09-30,18837.0
2016-10-31,18117.0
2016-11-30,16227.0
2016-12-31,14051.0
2017-01-31,15315.0
2017-02-28,16011.0
2017-03-31,17101.0
2017-04-30,17747.0
2017-05-31,17960.0
2017-06-30,18512.0
2017-07-31,19295.0
2017-08-31,19898.0
2017-09-30,20440.0
2017-10-31,21420.0
2017-11-30,22595.0
2017-12-31,23541.0
2018-01-31,25341.0
2018-02-28,25240.0
2018-03-31,25345.0
2018-04-30,25189.0
2018-05-31,24470.0
2018-06-30,22835.0
2018-07-31,22281.0
2018-08-31,18435.0
2018-09-30,17666.0
2018-10-31,18675.0
2018-11-30,19303.0
2018-12-31,19950.0
2019-01-31,19862.0
2019-02-28,20548.0
2019-03-31,20834.0
2019-04-30,20431.0
2019-05-31,20516.0
2019-06-30,22853.0
2019-07-31,23416.0
2019-08-31,25708.0
2019-09-30,26051.0
2019-10-31,26481.0
2019-11-30,26475.0
2019-12-31,25079.0
2020-01-31,27519.0
2020-02-29,30410.0
2020-03-31,31325.0
2020-04-30,34785.0
2020-05-31,36666.0
2020-06-30,38821.0
2020-07-31,43572.0
2020-08-31,43041.0
2020-09-30,41097.0
2020-10-31,42147.0
2020-11-30,40298.0
2020-12-31,43241.0
2021-01-31,42169.0
2021-02-28,40719.0
2021-03-31,39745.0
2021-04-30,40936.0
2021-05-31,43883.0
2021-06-30,40918.0
2021-07-31,41592.0
2021-08-31,40308.0
2021-09-30,39204.0
2021-10-31,39678.0
2021-11-30,39121.0
2021-12-31,38488.0
2022-01-31,38577.0
2022-02-28,42944.0
2022-03-31,42398.0
2022-04-30,41466.0
2022-05-31,41611.0
2022-06-30,41593.0
2022-07-31,40162.0
2022-08-31,40824.0
2022-09-30,38995.0
2022-10-31,39376.0
2022-11-30,42834.0
2022-12-31,45850.0
2023-01-31,50933.0
2023-02-28,49190.0
2023-03-31,52175.0
2023-04-30,46413.0
2023-05-31,41939.0
2023-06-30,41432.0
2023-07-31,41425.0
2023-08-31,41343.0
2023-09-30,40628.0
2023-10-31,44148.0
2023-11-30,45495.0
2023-12-31,48231.0
2024-01-31,4800674.0
2024-02-29,4927071.0
2024-03-31,5437827.0
2024-04-30,5911318.0
2024-05-31,5973974.0
2024-06-30,580770772828.0
2024-07-31,561039251076.0
2024-08-31,600434399015.0
2024-09-30,635659754181.0
2024-10-31,658944587923.0
2024-11-30,649198534555.0
2024-12-31,643192916857.0
