date,price
2006-03-31,58283.0
2006-04-30,59753.0
2006-05-31,59570.0
2006-06-30,56732.0
2006-07-31,57134.0
2006-08-31,57114.0
2006-09-30,58526.0
2006-10-31,55809.0
2006-11-30,58491.0
2006-12-31,60845.0
2007-01-31,61355.0
2007-02-28,62953.0
2007-03-31,67498.0
2007-04-30,66178.0
2007-05-31,65759.0
2007-06-30,68252.0
2007-07-31,68768.0
2007-08-31,71875.0
2007-09-30,71725.0
2007-10-31,70212.0
2007-11-30,72413.0
2007-12-31,71263.0
2008-01-31,71372.0
2008-02-29,74910.0
2008-03-31,74754.0
2008-04-30,74660.0
2008-05-31,74052.0
2008-06-30,75007.0
2008-07-31,75105.0
2008-08-31,75934.0
2008-09-30,76562.0
2008-10-31,72005.0
2008-11-30,71205.0
2008-12-31,70075.0
2009-01-31,67962.0
2009-02-28,67547.0
2009-03-31,66539.0
2009-04-30,62414.0
2009-05-31,67378.0
2009-06-30,64889.0
2009-07-31,66970.0
2009-08-31,69823.0
2009-09-30,70353.0
2009-10-31,71540.0
2009-11-30,71510.0
2009-12-31,69631.0
2010-01-31,70778.0
2010-02-28,67721.0
2010-03-31,68277.0
2010-04-30,72951.0
2010-05-31,71861.0
2010-06-30,70616.0
2010-07-31,74215.0
2010-08-31,76001.0
2010-09-30,75795.0
2010-10-31,79072.0
2010-11-30,79410.0
2010-12-31,80696.0
2011-01-31,82335.0
2011-02-28,82577.0
2011-03-31,86205.0
2011-04-30,90221.0
2011-05-31,91396.0
2011-06-30,92745.0
2011-07-31,93014.0
2011-08-31,88788.0
2011-09-30,87537.0
2011-10-31,84433.0
2011-11-30,86166.0
2011-12-31,78330.0
2012-01-31,76327.0
2012-02-29,77725.0
2012-03-31,80149.0
2012-04-30,80206.0
2012-05-31,78595.0
2012-06-30,83050.0
2012-07-31,84324.0
2012-08-31,92996.0
2012-09-30,94800.0
2012-10-31,96678.0
2012-11-30,100166.0
2012-12-31,100320.0
2013-01-31,103550.0
2013-02-28,104437.0
2013-03-31,105650.0
2013-04-30,113269.0
2013-05-31,108773.0
2013-06-30,105566.0
2013-07-31,104303.0
2013-08-31,108615.0
2013-09-30,108884.0
2013-10-31,112731.0
2013-11-30,114282.0
2013-12-31,112002.0
2014-01-31,104627.0
2014-02-28,106453.0
2014-03-31,105897.0
2014-04-30,108989.0
2014-05-31,110337.0
2014-06-30,111901.0
2014-07-31,111738.0
2014-08-31,112929.0
2014-09-30,112773.0
2014-10-31,112710.0
2014-11-30,113159.0
2014-12-31,106314.0
2015-01-31,109639.0
2015-02-28,108641.0
2015-03-31,103474.0
2015-04-30,102801.0
2015-05-31,101329.0
2015-06-30,100771.0
2015-07-31,102532.0
2015-08-31,102287.0
2015-09-30,99599.0
2015-10-31,100121.0
2015-11-30,99707.0
2015-12-31,95703.0
2016-01-31,92856.0
2016-02-29,93693.0
2016-03-31,95016.0
2016-04-30,96193.0
2016-05-31,98397.0
2016-06-30,101895.0
2016-07-31,99927.0
2016-08-31,102781.0
2016-09-30,99009.0
2016-10-31,101626.0
2016-11-30,99034.0
2016-12-31,92050.0
2017-01-31,92517.0
2017-02-28,91088.0
2017-03-31,88577.0
2017-04-30,84986.0
2017-05-31,86971.0
2017-06-30,90196.0
2017-07-31,87466.0
2017-08-31,90412.0
2017-09-30,91503.0
2017-10-31,95480.0
2017-11-30,96350.0
2017-12-31,84110.0
2018-01-31,91391.0
2018-02-28,88654.0
2018-03-31,84701.0
2018-04-30,87573.0
2018-05-31,83762.0
2018-06-30,75565.0
2018-07-31,78329.0
2018-08-31,70413.0
2018-09-30,66989.0
2018-10-31,67605.0
2018-11-30,71699.0
2018-12-31,71980.0
2019-01-31,73470.0
2019-02-28,79122.0
2019-03-31,75407.0
2019-04-30,73284.0
2019-05-31,75038.0
2019-06-30,73544.0
2019-07-31,74970.0
2019-08-31,75796.0
2019-09-30,75655.0
2019-10-31,78504.0
2019-11-30,78273.0
2019-12-31,81240.0
2020-01-31,74856.0
2020-02-29,77413.0
2020-03-31,64081.0
2020-04-30,51457.0
2020-05-31,54359.0
2020-06-30,51416.0
2020-07-31,46672.0
2020-08-31,41593.0
2020-09-30,42420.0
2020-10-31,42259.0
2020-11-30,43898.0
2020-12-31,49965.0
2021-01-31,53366.0
2021-02-28,54494.0
2021-03-31,50893.0
2021-04-30,46914.0
2021-05-31,48721.0
2021-06-30,59240.0
2021-07-31,64128.0
2021-08-31,77956.0
2021-09-30,82839.0
2021-10-31,84105.0
2021-11-30,87024.0
2021-12-31,72563.0
2022-01-31,71636.0
2022-02-28,70199.0
2022-03-31,65638.0
2022-04-30,65398.0
2022-05-31,61285.0
2022-06-30,60342.0
2022-07-31,61100.0
2022-08-31,70823.0
2022-09-30,68052.0
2022-10-31,74803.0
2022-11-30,79766.0
2022-12-31,82904.0
2023-01-31,76206.0
2023-02-28,71979.0
2023-03-31,70247.0
2023-04-30,68470.0
2023-05-31,56518.0
2023-06-30,67154.0
2023-07-31,72348.0
2023-08-31,75955.0
2023-09-30,81574.0
2023-10-31,82411.0
2023-11-30,90997.0
2023-12-31,92829.0
2024-01-31,8915381.0
2024-02-29,8247915.0
2024-03-31,6874778.0
2024-04-30,6496689.0
2024-05-31,839085.0
2024-06-30,848330484415.0
2024-07-31,919069699515.0
2024-08-31,893294783968.0
2024-09-30,938244375656.0
2024-10-31,935036307187.0
2024-11-30,92818317515.0
2024-12-31,907379599356.0
