date,price
2006-03-31,6606.0
2006-04-30,7215.0
2006-05-31,6757.0
2006-06-30,732.0
2006-07-31,7475.0
2006-08-31,6766.0
2006-09-30,5909.0
2006-10-31,5613.0
2006-11-30,6436.0
2006-12-31,5896.0
2007-01-31,5652.0
2007-02-28,5939.0
2007-03-31,6847.0
2007-04-30,6723.0
2007-05-31,6818.0
2007-06-30,7222.0
2007-07-31,7701.0
2007-08-31,7229.0
2007-09-30,8097.0
2007-10-31,8987.0
2007-11-30,8871.0
2007-12-31,9368.0
2008-01-31,9158.0
2008-02-29,1009.0
2008-03-31,10233.0
2008-04-30,11112.0
2008-05-31,12785.0
2008-06-30,1384.0
2008-07-31,1241.0
2008-08-31,11349.0
2008-09-30,9352.0
2008-10-31,60.0
2008-11-30,4772.0
2008-12-31,3582.0
2009-01-31,4417.0
2009-02-28,4441.0
2009-03-31,4613.0
2009-04-30,503.0
2009-05-31,6498.0
2009-06-30,6811.0
2009-07-31,7008.0
2009-08-31,6902.0
2009-09-30,6582.0
2009-10-31,7491.0
2009-11-30,7777.0
2009-12-31,7791.0
2010-01-31,712.0
2010-02-28,7636.0
2010-03-31,8037.0
2010-04-30,8619.0
2010-05-31,73.0
2010-06-30,7494.0
2010-07-31,775.0
2010-08-31,7551.0
2010-09-30,8077.0
2010-10-31,8247.0
2010-11-30,8602.0
2010-12-31,9323.0
2011-01-31,9897.0
2011-02-28,11227.0
2011-03-31,11694.0
2011-04-30,12659.0
2011-05-31,11718.0
2011-06-30,11171.0
2011-07-31,11593.0
2011-08-31,11648.0
2011-09-30,10542.0
2011-10-31,10843.0
2011-11-30,11122.0
2011-12-31,10809.0
2012-01-31,11026.0
2012-02-29,12223.0
2012-03-31,12341.0
2012-04-30,11866.0
2012-05-31,10386.0
2012-06-30,9417.0
2012-07-31,10593.0
2012-08-31,11393.0
2012-09-30,11136.0
2012-10-31,10989.0
2012-11-30,11084.0
2012-12-31,1108.0
2013-01-31,11555.0
2013-02-28,1122.0
2013-03-31,10846.0
2013-04-30,10153.0
2013-05-31,10043.0
2013-06-30,10249.0
2013-07-31,10789.0
2013-08-31,11597.0
2013-09-30,10785.0
2013-10-31,10753.0
2013-11-30,11107.0
2013-12-31,10995.0
2014-01-31,10816.0
2014-02-28,10898.0
2014-03-31,10595.0
2014-04-30,10863.0
2014-05-31,10921.0
2014-06-30,11103.0
2014-07-31,10494.0
2014-08-31,10112.0
2014-09-30,9467.0
2014-10-31,8417.0
2014-11-30,7189.0
2014-12-31,5527.0
2015-01-31,4752.0
2015-02-28,6189.0
2015-03-31,5369.0
2015-04-30,639.0
2015-05-31,6316.0
2015-06-30,6031.0
2015-07-31,5329.0
2015-08-31,4797.0
2015-09-30,4729.0
2015-10-31,48.0
2015-11-30,4373.0
2015-12-31,3661.0
2016-01-31,3314.0
2016-02-29,3592.0
2016-03-31,3675.0
2016-04-30,4564.0
2016-05-31,4926.0
2016-06-30,4805.0
2016-07-31,4076.0
2016-08-31,4794.0
2016-09-30,4824.0
2016-10-31,462.0
2016-11-30,4795.0
2016-12-31,5496.0
2017-01-31,5525.0
2017-02-28,5336.0
2017-03-31,522.0
2017-04-30,4946.0
2017-05-31,494.0
2017-06-30,4708.0
2017-07-31,5199.0
2017-08-31,5269.0
2017-09-30,5702.0
2017-10-31,6135.0
2017-11-30,6353.0
2017-12-31,6673.0
2018-01-31,6778.0
2018-02-28,6608.0
2018-03-31,6902.0
2018-04-30,7592.0
2018-05-31,7645.0
2018-06-30,7744.0
2018-07-31,7416.0
2018-08-31,7694.0
2018-09-30,8272.0
2018-10-31,7484.0
2018-11-30,5771.0
2018-12-31,5057.0
2019-01-31,6246.0
2019-02-28,6503.0
2019-03-31,6793.0
2019-04-30,7219.0
2019-05-31,6678.0
2019-06-30,6752.0
2019-07-31,6407.0
2019-08-31,6104.0
2019-09-30,6099.0
2019-10-31,593.0
2019-11-30,645.0
2019-12-31,6777.0
2020-01-31,5777.0
2020-02-29,5131.0
2020-03-31,1485.0
2020-04-30,1811.0
2020-05-31,3415.0
2020-06-30,4164.0
2020-07-31,4313.0
2020-08-31,4522.0
2020-09-30,403.0
2020-10-31,3633.0
2020-11-30,4684.0
2020-12-31,5122.0
2021-01-31,5525.0
2021-02-28,6586.0
2021-03-31,6352.0
2021-04-30,6773.0
2021-05-31,6936.0
2021-06-30,7694.0
2021-07-31,7772.0
2021-08-31,7345.0
2021-09-30,7781.0
2021-10-31,831.0
2021-11-30,7086.0
2021-12-31,7724.0
2022-01-31,9235.0
2022-02-28,10308.0
2022-03-31,10729.0
2022-04-30,10836.0
2022-05-31,12553.0
2022-06-30,11978.0
2022-07-31,11151.0
2022-08-31,9655.0
2022-09-30,889.0
2022-10-31,933.0
2022-11-30,8561.0
2022-12-31,8282.0
2023-01-31,8342.0
2023-02-28,8321.0
2023-03-31,7919.0
2023-04-30,8132.0
2023-05-31,7198.0
2023-06-30,7451.0
2023-07-31,8522.0
2023-08-31,8729.0
2023-09-30,9586.0
2023-10-31,8682.0
2023-11-30,8172.0
2023-12-31,7769.0
2024-01-31,8298.0
2024-02-29,8457.0
2024-03-31,8617.0
2024-04-30,8823.0
2024-05-31,7941.0
2024-06-30,8726.0
2024-07-31,8139.0
2024-08-31,802.0
2024-09-30,7235.0
2024-10-31,7325.0
2024-11-30,7416.0
2024-12-31,7458.0
