date,price
2006-03-31,-3053.0
2006-04-30,-3746.0
2006-05-31,-4035.0
2006-06-30,-2684.0
2006-07-31,-1645.0
2006-08-31,-1376.0
2006-09-30,-1337.0
2006-10-31,-2074.0
2006-11-30,-2821.0
2006-12-31,-2732.0
2007-01-31,-3116.0
2007-02-28,-3078.0
2007-03-31,-2985.0
2007-04-30,-3208.0
2007-05-31,-3486.0
2007-06-30,-2983.0
2007-07-31,-2680.0
2007-08-31,-1479.0
2007-09-30,-2131.0
2007-10-31,-3211.0
2007-11-30,-3338.0
2007-12-31,-5251.0
2008-01-31,-4035.0
2008-02-29,-3747.0
2008-03-31,-4141.0
2008-04-30,-5014.0
2008-05-31,-4561.0
2008-06-30,-5259.0
2008-07-31,-3684.0
2008-08-31,-2655.0
2008-09-30,-657.0
2008-10-31,-2280.0
2008-11-30,-354.0
2008-12-31,-3039.0
2009-01-31,-330.0
2009-02-28,-150.0
2009-03-31,-1080.0
2009-04-30,-1384.0
2009-05-31,-1361.0
2009-06-30,-1911.0
2009-07-31,-165.0
2009-08-31,-168.0
2009-09-30,-649.0
2009-10-31,684.0
2009-11-30,-1673.0
2009-12-31,-3171.0
2010-01-31,-2912.0
2010-02-28,-2019.0
2010-03-31,-4073.0
2010-04-30,-4127.0
2010-05-31,-2656.0
2010-06-30,-3083.0
2010-07-31,-3214.0
2010-08-31,-2648.0
2010-09-30,-3474.0
2010-10-31,-3051.0
2010-11-30,-5875.0
2010-12-31,-7493.0
2011-01-31,-5871.0
2011-02-28,-5903.0
2011-03-31,-9407.0
2011-04-30,-7485.0
2011-05-31,-7637.0
2011-06-30,-7559.0
2011-07-31,-5089.0
2011-08-31,-3682.0
2011-09-30,-6058.0
2011-10-31,-4085.0
2011-11-30,-5179.0
2011-12-31,-6448.0
2012-01-31,-5712.0
2012-02-29,-4183.0
2012-03-31,-6212.0
2012-04-30,-4384.0
2012-05-31,-5036.0
2012-06-30,-3601.0
2012-07-31,-2609.0
2012-08-31,356.0
2012-09-30,-1088.0
2012-10-31,-841.0
2012-11-30,-3855.0
2012-12-31,-4631.0
2013-01-31,-5408.0
2013-02-28,-4663.0
2013-03-31,-4635.0
2013-04-30,-6507.0
2013-05-31,-5864.0
2013-06-30,-3425.0
2013-07-31,-4273.0
2013-08-31,-59.0
2013-09-30,-1023.0
2013-10-31,-2628.0
2013-11-30,-3183.0
2013-12-31,-7661.0
2014-01-31,-4459.0
2014-02-28,-2631.0
2014-03-31,-3172.0
2014-04-30,-4010.0
2014-05-31,-2382.0
2014-06-30,-3181.0
2014-07-31,-613.0
2014-08-31,331.0
2014-09-30,-200.0
2014-10-31,-1381.0
2014-11-30,-4678.0
2014-12-31,-5734.0
2015-01-31,-1540.0
2015-02-28,-2824.0
2015-03-31,-4190.0
2015-04-30,-3162.0
2015-05-31,-3299.0
2015-06-30,-2330.0
2015-07-31,-1688.0
2015-08-31,2500.0
2015-09-30,1548.0
2015-10-31,238.0
2015-11-30,-1575.0
2015-12-31,-5032.0
2016-01-31,-1822.0
2016-02-29,-1549.0
2016-03-31,-3242.0
2016-04-30,-2266.0
2016-05-31,-2503.0
2016-06-30,-4389.0
2016-07-31,-1309.0
2016-08-31,505.0
2016-09-30,29.0
2016-10-31,-262.0
2016-11-30,-1257.0
2016-12-31,-4102.0
2017-01-31,-2346.0
2017-02-28,-1872.0
2017-03-31,-2774.0
2017-04-30,-2972.0
2017-05-31,-4223.0
2017-06-30,-3283.0
2017-07-31,-3198.0
